id;created_at;open;close;high;low;volume;reversal;best_bid_price;best_bid_quantity;best_ask_price;best_ask_quantity;spread;spread_percentage;bid_liquidity;ask_liquidity;total_liquidity;imbalance;weighted_mid_price
4894;2025-09-07 16:55:31.731246+00;111200.00;111210.00;111210.00;111200.00;675591.67;1;111219.87;10.06;111219.88;1.16;0.01;0.0000;1142326.96;131518.62;1273845.58;79.3509;111219.88
4895;2025-09-07 16:58:31.666931+00;111220.00;111230.00;111230.00;111220.00;217688.07;;111223.99;6.89;111224.00;1.40;0.01;0.0000;773269.19;157602.18;930871.38;66.1388;111224.00
4896;2025-09-07 16:58:33.358206+00;111230.00;111240.00;111240.00;111230.00;18214.74;;111236.12;10.46;111236.13;0.98;0.01;0.0000;1167791.27;128757.13;1296548.40;80.1385;111236.13
4897;2025-09-07 16:59:38.952262+00;111240.00;111230.00;111240.00;111230.00;368015.24;-1;111228.00;0.89;111228.01;13.36;0.01;0.0000;99718.13;1488759.11;1588477.23;-87.4448;111228.00
4898;2025-09-07 16:59:38.954699+00;111230.00;111220.00;111230.00;111220.00;16.68;;111228.00;0.89;111228.01;13.36;0.01;0.0000;99718.13;1488759.11;1588477.23;-87.4448;111228.00
4899;2025-09-07 17:00:01.974315+00;111220.00;111210.00;111220.00;111210.00;46775.36;;111213.89;0.70;111213.90;10.88;0.01;0.0000;90012.02;1218755.32;1308767.34;-86.2448;111213.89
4900;2025-09-07 17:00:27.489197+00;111210.00;111200.00;111210.00;111200.00;202942.13;;111202.01;2.43;111202.02;9.77;0.01;0.0000;277183.24;1090082.27;1367265.51;-59.4544;111202.01
4902;2025-09-07 17:03:48.562722+00;111210.00;111220.00;111220.00;111210.00;5.56;;111219.98;6.02;111219.99;2.02;0.01;0.0000;673374.69;227326.99;900701.68;49.5222;111219.99
4901;2025-09-07 17:03:48.562949+00;111200.00;111210.00;111210.00;111200.00;660639.27;1;111219.98;6.02;111219.99;2.02;0.01;0.0000;673374.69;227326.99;900701.68;49.5222;111219.99
4903;2025-09-07 17:03:49.43975+00;111220.00;111230.00;111230.00;111220.00;15290.92;;111224.19;5.11;111224.20;0.02;0.01;0.0000;1701955.96;2802.85;1704758.81;99.6712;111224.20
4904;2025-09-07 17:06:51.037407+00;111230.00;111220.00;111230.00;111220.00;470392.31;-1;111210.84;0.58;111210.85;11.07;0.01;0.0000;66498.52;1230678.17;1297176.69;-89.7472;111210.84
4905;2025-09-07 17:06:51.038549+00;111220.00;111210.00;111220.00;111210.00;167.93;;111210.84;0.58;111210.85;11.07;0.01;0.0000;66498.52;1230678.17;1297176.69;-89.7472;111210.84
4906;2025-09-07 17:06:59.459155+00;111210.00;111200.00;111210.00;111200.00;91255.84;;111200.69;0.78;111200.70;10.05;0.01;0.0000;87113.51;1119262.85;1206376.36;-85.5578;111200.69
4907;2025-09-07 17:07:05.536124+00;111200.00;111190.00;111200.00;111190.00;63418.28;;111193.47;0.85;111193.48;15.07;0.01;0.0000;95902.14;1680380.33;1776282.47;-89.2019;111193.47
4908;2025-09-07 17:07:09.228965+00;111190.00;111180.00;111190.00;111180.00;61440.02;;111180.46;0.97;111180.47;11.82;0.01;0.0000;109767.35;1316988.26;1426755.61;-84.6130;111180.46
4909;2025-09-07 17:07:09.370929+00;111180.00;111170.00;111180.00;111170.00;23932.56;;111180.46;0.97;111180.47;11.82;0.01;0.0000;109767.35;1316988.26;1426755.61;-84.6130;111180.46
4910;2025-09-07 17:09:11.883364+00;111160.00;111150.00;111160.00;111150.00;150541.26;;111176.07;1.89;111176.08;8.65;0.01;0.0000;217343.62;963030.55;1180374.18;-63.1738;111176.07
4911;2025-09-07 17:09:11.87316+00;111170.00;111160.00;111170.00;111160.00;1310214.98;;111176.07;1.89;111176.08;8.65;0.01;0.0000;217343.62;963030.55;1180374.18;-63.1738;111176.07
4912;2025-09-07 17:09:11.959733+00;111150.00;111140.00;111150.00;111140.00;64885.35;;111176.07;1.89;111176.08;8.65;0.01;0.0000;217343.62;963030.55;1180374.18;-63.1738;111176.07
4913;2025-09-07 17:09:12.105998+00;111140.00;111130.00;111140.00;111130.00;147805.02;;111176.07;1.89;111176.08;8.65;0.01;0.0000;217343.62;963030.55;1180374.18;-63.1738;111176.07
4914;2025-09-07 17:09:15.321443+00;111130.00;111120.00;111130.00;111120.00;236298.49;;111129.92;1.36;111129.93;10.77;0.01;0.0000;156150.87;1202933.71;1359084.58;-77.0212;111129.92
4915;2025-09-07 17:09:15.444297+00;111120.00;111110.00;111120.00;111110.00;286387.91;;111129.92;1.36;111129.93;10.77;0.01;0.0000;156150.87;1202933.71;1359084.58;-77.0212;111129.92
4916;2025-09-07 17:09:15.513926+00;111110.00;111100.00;111110.00;111100.00;85374.12;;111129.92;1.36;111129.93;10.77;0.01;0.0000;156150.87;1202933.71;1359084.58;-77.0212;111129.92
4917;2025-09-07 17:09:50.278042+00;111110.00;111120.00;111120.00;111110.00;5.56;;111118.91;8.51;111118.92;0.96;0.01;0.0000;951383.40;108833.20;1060216.61;79.4696;111118.92
4918;2025-09-07 17:09:50.301156+00;111100.00;111110.00;111110.00;111100.00;727696.43;1;111118.91;8.51;111118.92;0.96;0.01;0.0000;951383.40;108833.20;1060216.61;79.4696;111118.92
4919;2025-09-07 17:11:10.825825+00;111120.00;111130.00;111130.00;111120.00;139132.67;;111121.32;6.47;111121.33;0.07;0.01;0.0000;773454.14;11952.21;785406.36;96.9564;111121.33
4920;2025-09-07 17:11:14.826213+00;111130.00;111140.00;111140.00;111130.00;63003.50;;111134.79;10.91;111134.80;0.89;0.01;0.0000;1218424.00;104972.44;1323396.45;84.1359;111134.80
4921;2025-09-07 17:13:17.019929+00;111140.00;111130.00;111140.00;111130.00;403050.41;-1;111123.67;1.07;111123.68;13.70;0.01;0.0000;124256.26;1538505.15;1662761.41;-85.0542;111123.67
4922;2025-09-07 17:13:17.018708+00;111130.00;111120.00;111130.00;111120.00;5.56;;111123.67;1.07;111123.68;13.70;0.01;0.0000;124256.26;1538505.15;1662761.41;-85.0542;111123.67
4923;2025-09-07 17:13:28.139392+00;111120.00;111110.00;111120.00;111110.00;34438.65;;111113.08;1.68;111113.09;10.18;0.01;0.0000;187142.20;1142590.37;1329732.57;-71.8527;111113.08
4924;2025-09-07 17:14:05.411189+00;111110.00;111100.00;111110.00;111100.00;166039.67;;111100.00;9.88;111100.01;12.24;0.01;0.0000;1105311.66;1592848.64;2698160.31;-18.0692;111100.00
4925;2025-09-07 17:14:38.762132+00;111100.00;111090.00;111100.00;111090.00;1107086.39;;111100.00;9.73;111100.01;11.83;0.01;0.0000;1081890.69;1421130.23;2503020.92;-13.5532;111100.00
4926;2025-09-07 17:15:03.40969+00;111090.00;111080.00;111090.00;111080.00;37409.14;;111080.20;0.46;111080.21;17.08;0.01;0.0000;67628.93;1902098.64;1969727.57;-93.1332;111080.20
4927;2025-09-07 17:15:52.925389+00;111080.00;111090.00;111090.00;111080.00;518649.06;1;111099.99;9.75;111100.00;0.19;0.01;0.0000;1082844.94;21481.19;1104326.12;96.1096;111100.00
4928;2025-09-07 17:15:54.586376+00;111090.00;111100.00;111100.00;111090.00;1730.94;;111099.99;9.73;111100.00;0.30;0.01;0.0000;1085769.09;33876.61;1119645.70;93.9487;111100.00
4929;2025-09-07 17:16:22.467666+00;111100.00;111090.00;111100.00;111090.00;918203.81;-1;111072.00;0.08;111072.01;11.18;0.01;0.0000;8680.28;1247964.12;1256644.39;-98.6185;111072.00
4930;2025-09-07 17:16:22.582564+00;111090.00;111080.00;111090.00;111080.00;1999.44;;111072.00;0.08;111072.01;11.18;0.01;0.0000;8680.28;1247964.12;1256644.39;-98.6185;111072.00
4931;2025-09-07 17:17:20.753244+00;111080.00;111070.00;111080.00;111070.00;157534.16;;111072.00;0.06;111072.01;8.01;0.01;0.0000;7780.59;908565.72;916346.31;-98.3018;111072.00
4932;2025-09-07 17:17:20.905068+00;111070.00;111060.00;111070.00;111060.00;56891.67;;111072.00;0.06;111072.01;8.01;0.01;0.0000;7780.59;908565.72;916346.31;-98.3018;111072.00
4933;2025-09-07 17:18:08.740411+00;111060.00;111050.00;111060.00;111050.00;365320.24;;111056.07;0.32;111056.08;10.72;0.01;0.0000;36479.70;1194515.87;1230995.56;-94.0731;111056.07
